ID,L1,L2,A-1 Scene Domain (Level 1),A-1 Subcategory (Code + Name),A-2 Layout Structure,A-2 Imaging Method,A-2 Font and Text Form,A-2 Geometry and Arrangement,A-2 Image Quality,A-2 Lighting and Screen,A-2 Natural Interference,A-2 Adversarial / Misleading Factors,A-2 Language,A-2 Mixed Layout,Scene Category,A-1 Subcategory_Merged,A-1 Subcategory_Merged 10 Classes
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/eee00f1a88ab.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/162358117028.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/202d781503cd.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/99309c468286.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/8c4c9c0328c6.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/99d26f6ce4df.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Multi-direction Layout / Vertical Text,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/055d585549bd.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/637c97394ec3.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/25ca992fd66f.jpg,Documents & Office,D12 Forms / Applications / Questionnaires,Tables,Photo,Printed Text,Horizontal Layout,Clear,Reflection / Highlight Obstruction,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D12 Forms / Applications / Questionnaires,5-Forms & Personal Records
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/d9806d4620e4.jpg,Documents & Office,D12 Forms / Applications / Questionnaires,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D12 Forms / Applications / Questionnaires,5-Forms & Personal Records
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/179a54f241f2.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Multi-direction Layout / Vertical Text,Clear,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/a031d14ea6b0.jpg,Documents & Office,D12 Forms / Applications / Questionnaires,Tables,Photo,Printed Text,Horizontal Layout,Clear,Reflection / Highlight Obstruction,Watermark Overlay,No Interference,East Asian Text,Same-line Mixed Layout,,D12 Forms / Applications / Questionnaires,5-Forms & Personal Records
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/47abd2302359.jpg,Documents & Office,T03 Banners / Temporary Posted Notices,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/6d6265d6648c.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/b33414d06690.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,Reflection / Highlight Obstruction,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_custom_info_board_8/0ce76d07456c.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/18af5d168816.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/71a17e67f8ae.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/48a141a07504.jpg,Documents & Office,D04 News / Journals / Magazines / Newspaper Interior Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D04 News / Journals / Magazines / Newspaper Interior Pages,3-Marketing & Editorial
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/80283303fdb9.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Moire / Refresh Bands (Screen Capture),No Issue,Distracting Text Injection,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/7a7bb19ab056.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Mixed Text and Images,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,Distracting Text Injection,East Asian Text,Annotation-style Mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/232172e1c23c.jpg,Documents & Office,D09 Official Documents / Notices / Announcements / Letters,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Stamp Overlay,No Interference,East Asian Text,Non-mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/303a9c8156a3.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/2b8f796239d8.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/943dc945d9a2.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,Watermark Overlay,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/d602f4c2100a.jpg,Documents & Office,D05 Instructions / Operation Manuals / Guide Pages,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D05 Instructions / Operation Manuals / Guide Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/40b15551ba26.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Tables,Photo,Printed Text,Obvious Perspective Distortion,Low Resolution,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/ac1020beeb48.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/bad7e07aec10.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/06d2e6043130.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Non-mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/b517bd426e50.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Blurry (Motion / Defocus),No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/543162c22642.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/ed24823cc6e9.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/bc2bd3d99e07.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Tables,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/df0839d4d7e1.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,Distracting Text Injection,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/e22a771bd5f7.jpg,Documents & Office,D05 Instructions / Operation Manuals / Guide Pages,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Watermark Overlay,No Interference,East Asian Text,Non-mixed Layout,,D05 Instructions / Operation Manuals / Guide Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/ff34cda3973e.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/defa8ef622ec.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/4a1de0ccf536.jpg,Documents & Office,D15 Certificates / Awards / Proof Documents / Vouchers,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Stamp Overlay,No Interference,East Asian Text,Non-mixed Layout,,D15 Certificates / Awards / Proof Documents / Vouchers,7-Certificates & Medical
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/90b7a97e694f.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/0b2f0dd5ae14.jpg,Documents & Office,D14 Bills / Statements / Transaction Records / Itemized Lists,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,Watermark Overlay,Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D14 Bills / Statements / Transaction Records / Itemized Lists,6-Receipts & Transactions
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/2153213d575f.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,Distracting Text Injection,East Asian Text,Annotation-style Mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/3ada5253d138.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/0ae6434b9175.jpg,Documents & Office,D17 Financial Statements / Statistical Reports,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Stamp Overlay,Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D17 Financial Statements / Statistical Reports,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/7950175569bf.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/4a20cd3eda67.jpg,Documents & Office,D09 Official Documents / Notices / Announcements / Letters,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/93ae0475b010.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/4fe1ff16f3bc.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/76c09701fd6c.jpg,Documents & Office,D02 Academic Papers / Thesis Pages,Paragraphs,Photo,Printed Text,Dense Small Text / Very Long Lines,Clear,No Issue,No Issue,Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D02 Academic Papers / Thesis Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/60b41b43b89d.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/574aeaeca885.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/9537c0632174.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/94e9a7ab6682.jpg,Documents & Office,D03 Reports / White Papers / Research Report Pages,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D03 Reports / White Papers / Research Report Pages,2-Reports & Memos
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/ee6e2c1928ce.jpg,Documents & Office,D09 Official Documents / Notices / Announcements / Letters,Tables,Photo,Printed Text,Obvious Perspective Distortion,Blurry (Motion / Defocus),Shadows / Overexposure / Underexposure,No Issue,Distracting Text Injection,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/4dfa48bd4a86.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/fbbdd7c9df35.jpg,Documents & Office,D01 Books / Textbooks / Handout Pages,Paragraphs,Photo,Printed Text,Multi-direction Layout / Vertical Text,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D01 Books / Textbooks / Handout Pages,1-Books & Academic
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/1d3a18200b65.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Paragraphs,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,Distracting Text Injection,East Asian Text,Parallel Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
,doc_parsing,ocr_datasets/doc_parsing/images/doc_parsing_doc_doc_photo_150/92757c9cf7ad.jpg,Documents & Office,D08 Contracts / Agreements / Terms / Legal Text Pages,Lists,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D08 Contracts / Agreements / Terms / Legal Text Pages,4-Legal & Public Notices
